MUNICIPALITY,REGION,TENDER,YEAR,TYPE
MUN_74,CENTRO SUL,BID_114733,2017,ASSETS
MUN_4,NOROESTE,BID_110070,2017,ASSETS
MUN_31,SUL,BID_114571,2017,ASSETS
MUN_104,SUL,BID_99149,2018,ASSETS
MUN_4,NOROESTE,BID_120902,2016,ASSETS
MUN_106,SUL,BID_117435,2017,ASSETS
MUN_4,NOROESTE,BID_120892,2016,ASSETS
MUN_4,NOROESTE,BID_120906,2016,ASSETS
MUN_101,NOROESTE,BID_100049,2019,ASSETS
MUN_4,NOROESTE,BID_120894,2016,ASSETS
MUN_4,NOROESTE,BID_120896,2016,ASSETS
MUN_4,NOROESTE,BID_120897,2016,ASSETS
MUN_106,SUL,BID_117391,2018,ASSETS
MUN_4,NOROESTE,BID_120908,2016,ASSETS
MUN_4,NOROESTE,BID_120914,2016,ASSETS
MUN_4,NOROESTE,BID_120915,2016,ASSETS
MUN_31,SUL,BID_96378,2019,ASSETS
MUN_31,SUL,BID_102477,2019,ASSETS
MUN_93,SUL,BID_123323,2016,ASSETS
MUN_22,SERTAO,BID_98739,2016,ASSETS
MUN_164,JAGUARIBE,BID_103830,2018,ASSETS
MUN_164,JAGUARIBE,BID_105246,2018,ASSETS
MUN_22,SERTAO,BID_98740,2016,ASSETS
MUN_164,JAGUARIBE,BID_116252,2018,ASSETS
MUN_164,JAGUARIBE,BID_109652,2019,ASSETS
MUN_149,NOROESTE,BID_101629,2017,ASSETS
MUN_12,NORTE,BID_116259,2017,ASSETS
MUN_91,JAGUARIBE,BID_105538,2019,ASSETS
MUN_32,NOROESTE,BID_120780,2017,ASSETS
MUN_105,NOROESTE,BID_97551,2018,ASSETS
MUN_105,NOROESTE,BID_100230,2019,ASSETS
MUN_105,NOROESTE,BID_100673,2018,ASSETS
MUN_105,NOROESTE,BID_97596,2018,ASSETS
MUN_105,NOROESTE,BID_101622,2017,ASSETS
MUN_105,NOROESTE,BID_97594,2017,ASSETS
MUN_105,NOROESTE,BID_98455,2018,ASSETS
MUN_105,NOROESTE,BID_98454,2017,ASSETS
MUN_86,NOROESTE,BID_33132,2017,ASSETS
MUN_86,NOROESTE,BID_54493,2019,ASSETS
MUN_105,NOROESTE,BID_21209,2017,ASSETS
MUN_105,NOROESTE,BID_46323,2019,ASSETS
MUN_86,NOROESTE,BID_54520,2019,ASSETS
MUN_86,NOROESTE,BID_33159,2017,ASSETS
MUN_86,NOROESTE,BID_54542,2019,ASSETS
MUN_61,NOROESTE,BID_18350,2016,ASSETS
MUN_35,NORTE,BID_102553,2019,ASSETS
MUN_86,NOROESTE,BID_123067,2019,ASSETS
MUN_101,NOROESTE,BID_20966,2017,ASSETS
MUN_176,NOROESTE,BID_101944,2017,ASSETS
MUN_60,NOROESTE,BID_122263,2017,ASSETS
MUN_86,NOROESTE,BID_54528,2019,ASSETS
MUN_54,METROPOLITANA,BID_103421,2019,ASSETS
MUN_54,METROPOLITANA,BID_103500,2017,ASSETS
MUN_176,NOROESTE,BID_102037,2019,ASSETS
MUN_115,NOROESTE,BID_102879,2019,ASSETS
MUN_176,NOROESTE,BID_101914,2017,ASSETS
MUN_148,NORTE,BID_103389,2018,ASSETS
MUN_129,NORTE,BID_22950,2017,ASSETS
MUN_167,SERTAO,BID_103429,2019,ASSETS
MUN_176,NOROESTE,BID_101978,2018,ASSETS
MUN_54,METROPOLITANA,BID_103028,2019,ASSETS
MUN_176,NOROESTE,BID_102032,2019,ASSETS
MUN_36,NORTE,BID_16510,2016,ASSETS
MUN_176,NOROESTE,BID_102019,2017,ASSETS
MUN_176,NOROESTE,BID_101946,2018,ASSETS
MUN_159,NORTE,BID_104386,2018,ASSETS
MUN_140,SUL,BID_103248,2017,ASSETS
MUN_53,JAGUARIBE,BID_30136,2018,ASSETS
MUN_100,METROPOLITANA,BID_100034,2019,ASSETS
MUN_147,JAGUARIBE,BID_104398,2018,ASSETS
MUN_78,NOROESTE,BID_44232,2018,ASSETS
MUN_117,SUL,BID_100325,2019,ASSETS
MUN_60,NOROESTE,BID_18267,2016,ASSETS
MUN_147,JAGUARIBE,BID_101036,2019,ASSETS
MUN_74,CENTRO SUL,BID_96826,2017,ASSETS
MUN_155,NOROESTE,BID_140265,2015,ASSETS
MUN_103,NOROESTE,BID_100111,2019,ASSETS
MUN_179,NOROESTE,BID_102130,2016,ASSETS
MUN_118,SERTAO,BID_100860,2018,ASSETS
MUN_176,NOROESTE,BID_101998,2017,ASSETS
MUN_98,SERTAO,BID_140134,2015,ASSETS
MUN_135,JAGUARIBE,BID_102644,2017,ASSETS
MUN_155,NOROESTE,BID_140281,2015,ASSETS
MUN_105,NOROESTE,BID_21202,2017,ASSETS
MUN_164,JAGUARIBE,BID_101632,2019,ASSETS
MUN_82,JAGUARIBE,BID_32724,2017,ASSETS
MUN_16,SUL,BID_101710,2019,ASSETS
MUN_147,JAGUARIBE,BID_101037,2019,ASSETS
MUN_131,NORTE,BID_100702,2019,ASSETS
MUN_122,METROPOLITANA,BID_100454,2019,ASSETS
MUN_162,NOROESTE,BID_104491,2018,ASSETS
MUN_115,NOROESTE,BID_100676,2017,ASSETS
MUN_136,NORTE,BID_103843,2018,ASSETS
MUN_131,NORTE,BID_100704,2019,ASSETS
MUN_154,SUL,BID_101219,2019,ASSETS
MUN_10,NORTE,BID_117117,2017,ASSETS
MUN_168,NORTE,BID_25873,2017,ASSETS
MUN_121,CENTRO SUL,BID_100416,2019,ASSETS
MUN_111,SERTAO,BID_100219,2019,ASSETS
MUN_136,NORTE,BID_100778,2018,ASSETS
MUN_176,NOROESTE,BID_101918,2019,ASSETS
MUN_157,NORTE,BID_101363,2016,ASSETS
MUN_118,SERTAO,BID_100678,2018,ASSETS
MUN_135,JAGUARIBE,BID_102645,2019,ASSETS
MUN_101,NOROESTE,BID_100670,2018,ASSETS
MUN_176,NOROESTE,BID_101942,2017,ASSETS
MUN_167,SERTAO,BID_101669,2019,ASSETS
MUN_74,CENTRO SUL,BID_32046,2017,ASSETS
MUN_146,SERTAO,BID_101116,2018,ASSETS
MUN_176,NOROESTE,BID_102002,2017,ASSETS
MUN_99,METROPOLITANA,BID_55372,2019,ASSETS
MUN_46,NORTE,BID_102809,2019,ASSETS
MUN_170,NORTE,BID_103802,2018,ASSETS
MUN_104,SUL,BID_100124,2019,ASSETS
MUN_152,SUL,BID_102660,2016,ASSETS
MUN_162,NOROESTE,BID_101545,2019,ASSETS
MUN_170,NORTE,BID_103778,2019,ASSETS
MUN_170,NORTE,BID_103776,2019,ASSETS
MUN_122,METROPOLITANA,BID_103961,2018,ASSETS
MUN_160,SERTAO,BID_103106,2017,ASSETS
MUN_134,NORTE,BID_100745,2019,ASSETS
MUN_157,NORTE,BID_101284,2018,ASSETS
MUN_179,NOROESTE,BID_103192,2016,ASSETS
MUN_137,SERTAO,BID_100808,2019,ASSETS
MUN_140,SUL,BID_103249,2017,ASSETS
MUN_179,NOROESTE,BID_102119,2019,ASSETS
MUN_152,SUL,BID_102656,2017,ASSETS
MUN_169,NOROESTE,BID_101750,2019,ASSETS
MUN_185,NOROESTE,BID_102891,2018,ASSETS
MUN_176,NOROESTE,BID_101985,2018,ASSETS
MUN_156,NOROESTE,BID_101244,2019,ASSETS
MUN_172,NOROESTE,BID_14877,2016,ASSETS
MUN_152,SUL,BID_102659,2018,ASSETS
MUN_99,METROPOLITANA,BID_98086,2018,ASSETS
MUN_57,METROPOLITANA,BID_106384,2017,ASSETS
MUN_80,JAGUARIBE,BID_54125,2019,ASSETS
MUN_157,NORTE,BID_105700,2018,ASSETS
MUN_27,NORTE,BID_50945,2019,ASSETS
MUN_19,SUL,BID_107650,2018,ASSETS
MUN_75,SERTAO,BID_105124,2016,ASSETS
MUN_84,NORTE,BID_32906,2017,ASSETS
MUN_157,NORTE,BID_105719,2019,ASSETS
MUN_97,JAGUARIBE,BID_123559,2016,ASSETS
MUN_44,CENTRO SUL,BID_105673,2016,ASSETS
MUN_132,SERTAO,BID_36637,2018,ASSETS
MUN_62,SUL,BID_31062,2017,ASSETS
MUN_37,NOROESTE,BID_103532,2019,ASSETS
MUN_53,JAGUARIBE,BID_52413,2019,ASSETS
MUN_25,SUL,BID_40411,2018,ASSETS
MUN_107,SERTAO,BID_100728,2018,ASSETS
MUN_23,SUL,BID_102323,2019,ASSETS
MUN_49,SUL,BID_109201,2016,ASSETS
MUN_23,SUL,BID_50798,2019,ASSETS
MUN_8,SUL,BID_103986,2016,ASSETS
MUN_74,CENTRO SUL,BID_98599,2016,ASSETS
MUN_124,NORTE,BID_101543,2016,ASSETS
MUN_30,SERTAO,BID_109113,2016,ASSETS
MUN_140,SUL,BID_23990,2017,ASSETS
MUN_74,CENTRO SUL,BID_44033,2018,ASSETS
MUN_64,METROPOLITANA,BID_53249,2019,ASSETS
MUN_112,SERTAO,BID_101111,2019,ASSETS
MUN_57,METROPOLITANA,BID_105463,2016,ASSETS
MUN_151,SERTAO,BID_24767,2017,ASSETS
MUN_13,METROPOLITANA,BID_22989,2017,ASSETS
MUN_88,JAGUARIBE,BID_45012,2018,ASSETS
MUN_101,NOROESTE,BID_20981,2017,ASSETS
MUN_81,NOROESTE,BID_44496,2018,ASSETS
MUN_106,SUL,BID_46374,2019,ASSETS
MUN_167,SERTAO,BID_25866,2017,ASSETS
MUN_144,SERTAO,BID_96697,2017,ASSETS
MUN_130,SERTAO,BID_97929,2016,ASSETS
MUN_134,NORTE,BID_23447,2017,ASSETS
MUN_174,NORTE,BID_14964,2016,ASSETS
MUN_89,JAGUARIBE,BID_54656,2019,ASSETS
MUN_157,NORTE,BID_101340,2019,ASSETS
MUN_183,JAGUARIBE,BID_27128,2017,ASSETS
MUN_184,METROPOLITANA,BID_15472,2016,ASSETS
MUN_66,NORTE,BID_18599,2016,ASSETS
MUN_183,JAGUARIBE,BID_39947,2018,ASSETS
MUN_147,JAGUARIBE,BID_48483,2019,ASSETS
MUN_8,SUL,BID_32527,2017,ASSETS
MUN_132,SERTAO,BID_12513,2016,ASSETS
MUN_57,METROPOLITANA,BID_57803,2019,ASSETS
MUN_52,SERTAO,BID_42245,2018,ASSETS
MUN_97,JAGUARIBE,BID_34161,2017,ASSETS
MUN_179,NOROESTE,BID_50306,2019,ASSETS
MUN_118,SERTAO,BID_73528,2019,ASSETS
MUN_66,NORTE,BID_53350,2019,ASSETS
MUN_105,NOROESTE,BID_11273,2016,ASSETS
MUN_110,NOROESTE,BID_46530,2019,ASSETS
MUN_43,METROPOLITANA,BID_29313,2017,ASSETS
MUN_179,NOROESTE,BID_39697,2018,ASSETS
MUN_43,METROPOLITANA,BID_41498,2018,ASSETS
MUN_57,METROPOLITANA,BID_75506,2018,ASSETS
MUN_34,NORTE,BID_51338,2019,ASSETS
MUN_157,NORTE,BID_101282,2019,ASSETS
MUN_57,METROPOLITANA,BID_61595,2017,ASSETS
MUN_107,SERTAO,BID_34905,2018,ASSETS
MUN_137,SERTAO,BID_23657,2017,ASSETS
MUN_8,SUL,BID_107269,2016,ASSETS
MUN_3,NORTE,BID_16092,2016,ASSETS
MUN_41,NORTE,BID_29005,2017,ASSETS
MUN_136,NORTE,BID_47923,2019,ASSETS
MUN_147,JAGUARIBE,BID_24457,2017,ASSETS
MUN_7,NOROESTE,BID_31616,2017,ASSETS
MUN_51,NOROESTE,BID_42187,2018,ASSETS
MUN_145,CENTRO SUL,BID_48352,2019,ASSETS
MUN_70,NOROESTE,BID_43743,2018,ASSETS
MUN_146,SERTAO,BID_103548,2016,ASSETS
MUN_184,METROPOLITANA,BID_39994,2018,ASSETS
MUN_94,SUL,BID_97090,2017,ASSETS
MUN_118,SERTAO,BID_100768,2017,ASSETS
MUN_23,SUL,BID_102949,2016,ASSETS
MUN_80,JAGUARIBE,BID_44429,2018,ASSETS
MUN_80,JAGUARIBE,BID_54106,2019,ASSETS
MUN_80,JAGUARIBE,BID_122848,2018,ASSETS
MUN_80,JAGUARIBE,BID_122853,2016,ASSETS
MUN_107,SERTAO,BID_97110,2019,ASSETS
MUN_13,METROPOLITANA,BID_104175,2019,ASSETS
MUN_152,SUL,BID_106615,2017,ASSETS
MUN_13,METROPOLITANA,BID_36370,2018,ASSETS
MUN_74,CENTRO SUL,BID_32128,2017,ASSETS
MUN_37,NOROESTE,BID_109236,2018,ASSETS
MUN_50,NOROESTE,BID_17515,2016,ASSETS
MUN_155,NOROESTE,BID_13675,2016,ASSETS
MUN_19,SUL,BID_50613,2019,ASSETS
MUN_50,NOROESTE,BID_102951,2019,ASSETS
MUN_98,SERTAO,BID_45848,2018,ASSETS
MUN_88,JAGUARIBE,BID_54606,2019,ASSETS
MUN_130,SERTAO,BID_47665,2019,ASSETS
MUN_99,METROPOLITANA,BID_45922,2018,ASSETS
MUN_157,NORTE,BID_64805,2018,ASSETS
MUN_37,NOROESTE,BID_103528,2019,ASSETS
MUN_135,JAGUARIBE,BID_114444,2018,ASSETS
MUN_63,NOROESTE,BID_104666,2016,ASSETS
MUN_184,METROPOLITANA,BID_39982,2018,ASSETS
MUN_162,NOROESTE,BID_58097,2018,ASSETS
MUN_17,NORTE,BID_39202,2018,ASSETS
MUN_164,JAGUARIBE,BID_49537,2019,ASSETS
MUN_130,SERTAO,BID_63099,2018,ASSETS
MUN_49,SUL,BID_61953,2017,ASSETS
MUN_88,JAGUARIBE,BID_33317,2017,ASSETS
MUN_75,SERTAO,BID_19286,2016,ASSETS
MUN_57,METROPOLITANA,BID_114588,2018,ASSETS
MUN_169,NOROESTE,BID_102128,2017,ASSETS
MUN_70,NOROESTE,BID_105525,2017,ASSETS
MUN_92,SUL,BID_54834,2019,ASSETS
MUN_16,SUL,BID_61382,2016,ASSETS
MUN_182,SERTAO,BID_50418,2019,ASSETS
MUN_22,SERTAO,BID_15669,2016,ASSETS
MUN_68,METROPOLITANA,BID_31497,2017,ASSETS
MUN_115,NOROESTE,BID_72380,2018,ASSETS
MUN_68,METROPOLITANA,BID_43600,2018,ASSETS
MUN_159,NORTE,BID_13997,2016,ASSETS
MUN_13,METROPOLITANA,BID_36413,2018,ASSETS
MUN_167,SERTAO,BID_49626,2019,ASSETS
MUN_144,SERTAO,BID_37321,2018,ASSETS
MUN_89,JAGUARIBE,BID_45096,2018,ASSETS
MUN_72,JAGUARIBE,BID_18948,2016,ASSETS
MUN_167,SERTAO,BID_38980,2018,ASSETS
MUN_179,NOROESTE,BID_39689,2018,ASSETS
MUN_35,NORTE,BID_51371,2019,ASSETS
MUN_23,SUL,BID_27581,2017,ASSETS
MUN_146,SERTAO,BID_13204,2016,ASSETS
MUN_140,SUL,BID_12893,2016,ASSETS
MUN_133,SUL,BID_102180,2017,ASSETS
MUN_157,NORTE,BID_49039,2019,ASSETS
MUN_87,NORTE,BID_89474,2017,ASSETS
MUN_113,JAGUARIBE,BID_63523,2017,ASSETS
MUN_10,NORTE,BID_34456,2018,ASSETS
MUN_86,NOROESTE,BID_33235,2017,ASSETS
MUN_4,NOROESTE,BID_41265,2018,ASSETS
MUN_43,METROPOLITANA,BID_96819,2016,ASSETS
MUN_124,NORTE,BID_22663,2017,ASSETS
MUN_104,SUL,BID_100129,2019,ASSETS
MUN_162,NOROESTE,BID_49402,2019,ASSETS
MUN_104,SUL,BID_21173,2017,ASSETS
MUN_72,JAGUARIBE,BID_18977,2016,ASSETS
MUN_136,NORTE,BID_23594,2017,ASSETS
MUN_26,NOROESTE,BID_104771,2017,ASSETS
MUN_124,NORTE,BID_111156,2016,ASSETS
MUN_146,SERTAO,BID_24407,2017,ASSETS
MUN_38,SUL,BID_41168,2018,ASSETS
MUN_95,CENTRO SUL,BID_63100,2018,ASSETS
MUN_106,SUL,BID_34831,2018,ASSETS
MUN_121,CENTRO SUL,BID_35757,2018,ASSETS
MUN_91,JAGUARIBE,BID_56829,2017,ASSETS
MUN_121,CENTRO SUL,BID_11947,2016,ASSETS
MUN_68,METROPOLITANA,BID_58900,2017,ASSETS
MUN_129,NORTE,BID_36304,2018,ASSETS
MUN_101,NOROESTE,BID_34539,2018,ASSETS
MUN_74,CENTRO SUL,BID_75456,2019,ASSETS
MUN_175,NORTE,BID_39531,2018,ASSETS
MUN_11,CENTRO SUL,BID_102164,2018,ASSETS
MUN_154,SUL,BID_101602,2019,ASSETS
MUN_44,CENTRO SUL,BID_41660,2018,ASSETS
MUN_46,NORTE,BID_51956,2019,ASSETS
MUN_83,NORTE,BID_32859,2017,ASSETS
MUN_156,NOROESTE,BID_25070,2017,ASSETS
MUN_32,NOROESTE,BID_28340,2017,ASSETS
MUN_157,NORTE,BID_68572,2018,ASSETS
MUN_66,NORTE,BID_31372,2017,ASSETS
MUN_98,SERTAO,BID_20648,2016,ASSETS
MUN_41,NORTE,BID_51676,2019,ASSETS
MUN_27,NORTE,BID_40474,2018,ASSETS
MUN_169,NOROESTE,BID_26023,2017,ASSETS
MUN_102,NOROESTE,BID_21034,2017,ASSETS
MUN_146,SERTAO,BID_24409,2017,ASSETS
MUN_144,SERTAO,BID_100967,2019,ASSETS
MUN_14,JAGUARIBE,BID_37039,2018,ASSETS
MUN_107,SERTAO,BID_111131,2019,ASSETS
MUN_75,SERTAO,BID_32196,2017,ASSETS
MUN_146,SERTAO,BID_114950,2018,ASSETS
