FIRM,ASSETS TENDERS,FUEL TENDERS,EVENT TENDERS,TENANCY TENDERS,FOOD TENDERS,CONSTRUCTION TENDERS,ADVERTISEMENT TENDERS,SERVICES TENDERS,CONSUMABLES EDUCATION TENDERS,CONSUMABLES GENERAL TENDERS,CONSUMABLES HEALTH TENDERS,TRANSPORTATION TENDERS
COM_29975,14,0,0,0,0,0,0,4,0,16,38,0
COM_33178,4,0,0,0,0,0,0,3,0,17,44,0
COM_40482,11,0,3,0,7,0,1,58,0,273,469,0
COM_32870,18,0,0,0,0,0,0,41,0,0,0,0
COM_27615,0,0,0,0,0,12,0,4,0,0,0,0
COM_28822,4,0,1,0,0,41,0,59,0,0,0,0
COM_37183,5,0,1,0,0,8,0,9,0,0,0,0
COM_25779,0,0,0,0,0,34,0,26,0,0,0,0
COM_25251,46,0,1,0,5,0,0,11,2,38,37,0
COM_25908,2,0,0,0,0,1,0,1,0,25,31,0
COM_27043,2,0,0,0,1,0,0,1,0,26,111,0
COM_27172,3,1,0,0,1,0,0,8,1,65,136,0
COM_27364,0,0,0,0,0,1,0,7,0,61,55,0
COM_27676,79,0,2,0,0,0,0,17,0,58,144,0
COM_28615,0,0,0,0,1,0,0,12,0,44,52,0
COM_29301,272,1,6,0,11,3,0,49,0,207,367,0
COM_30470,0,0,0,0,0,0,0,3,0,15,23,0
COM_31054,0,0,0,0,1,0,0,9,0,39,126,0
COM_31999,103,0,0,2,5,0,0,32,0,114,269,0
COM_32869,4,0,0,0,1,0,0,1,0,47,26,0
COM_36470,6,6,0,0,0,0,0,1,0,2,0,0
COM_25994,0,0,0,0,0,0,1,12,0,0,0,0
COM_27830,1,0,0,0,0,27,0,38,0,0,0,0
COM_26061,0,0,0,0,0,10,0,10,0,0,0,0
COM_25332,4,0,0,0,0,0,0,13,0,0,0,0
COM_32124,5,0,0,0,0,0,0,22,0,0,0,0
COM_29842,0,0,0,0,0,0,0,1,1,15,0,0
COM_28678,3,0,0,0,0,19,0,10,0,0,0,0
COM_29605,1,0,2,0,0,1,0,3,0,0,0,0
COM_25785,4,0,0,0,40,0,0,6,0,3,0,0
